Equipment_ID,Equipment_Name,Department,Manufacturer,Installation_Date,Last_Service_Date,Next_Maintenance_Date,Daily_Usage_Limit,Equipment_Status,Temperature_Readings,Pressure_Load_Readings,Rotational_Speed_RPM,Power_Voltage_Usage,Usage_Hours_Per_Day,Vibration_Torque_Level,Maintenance_Overdue,Power_Backup_Available,Failure_Type,resource_failure,Downtime_Duration,Past_Repairs_Count,Failure_Type_Encoded,Predicted_Failure_Type,Failure_Probability,Estimated_Downtime,Reactive_Cost,Preventive_Cost,Cost_Saved,Prevented_Failure_Savings,Maintenance_Action,Live_Cost_Saved,Downtime_Cost,Repair_Cost,AI_Recommendation
EQ001,MRI Scanner,Radiology,GE Healthcare,2022-01-10,2025-05-01,2025-06-01,12,Active,78.60048662953982,45,3000,220,16,11.385865996376038,1,1,heat,1,7.0,2.0,0.0,wear,0.3786292959254527,3.786292959254527,18931.464796272634,11358.87887776358,7572.585918509054,5679.43943888179,⚠️ PREVENTIVE,13870.43943888179,3029.0343674036217,1200.0,⚠️ Reduce equipment workload
EQ002,CT Scanner,Radiology,Siemens,2021-03-12,2025-04-15,2025-05-20,10,Active,64.17436520703637,40,2500,215,10,7.831337428523809,0,1,wear,0,7.0,2.0,2.0,wear,0.32358123973393194,3.2358123973393194,16179.061986696597,9707.437192017958,6471.624794678639,4853.718596008979,🟢 NORMAL,13640.71859600898,2588.6499178714553,1200.0,✅ Equipment operating normally
EQ003,Ventilator,ICU,Philips,2020-08-22,2025-05-10,2025-06-15,18,Critical,85.01501586946287,60,4000,230,18,14.0707638517885,1,0,power,1,4.0,3.0,1.0,power,0.1457900322163277,1.457900322163277,7289.5016108163845,4373.7009664898305,2915.800644326554,2186.8504832449153,⚠️ PREVENTIVE,4531.850483244915,1166.3202577306215,1800.0,🌡️ Cooling inspection needed
EQ004,X-Ray Machine,Radiology,Canon,2023-02-18,2025-04-28,2025-05-30,11,Active,69.79590078964337,48,2800,218,12,9.466360542971392,0,1,wear,0,8.0,4.0,2.0,wear,0.37715423364311185,3.7715423364311187,18857.711682155594,11314.627009293356,7543.084672862238,5657.313504646678,🟢 NORMAL,14499.313504646678,3017.233869144895,2400.0,⚠️ Reduce equipment workload
EQ005,ECG Monitor,Cardiology,Medtronic,2022-11-05,2025-05-08,2025-06-08,14,Maintenance,91.48162297874123,65,4200,240,20,17.635157416492472,1,0,heat,1,1.0,3.0,0.0,heat,0.33457964848041477,3.345796484804148,16728.982424020738,10037.389454412443,6691.592969608295,5018.694727206222,⚠️ PREVENTIVE,13540.69472720622,2676.6371878433183,1800.0,⚠️ Reduce equipment workload
EQ006,Defibrillator,Emergency,Zoll,2021-06-11,2025-05-03,2025-06-05,10,Active,60.46508726221453,35,2200,210,8,4.934262945315294,0,1,power,0,5.0,1.0,1.0,power,0.5274184736739757,5.274184736739756,26370.92368369878,15822.554210219267,10548.369473479514,7911.277105109635,🟢 NORMAL,16976.277105109635,4219.347789391805,600.0,✅ Equipment operating normally
EQ007,Dialysis Machine,Dialysis,Fresenius,2020-09-15,2025-05-02,2025-06-12,15,Critical,88.13835363226059,62,4100,235,19,16.804539632499694,1,0,heat,1,6.0,1.0,0.0,heat,0.43031394653270083,4.303139465327009,21515.697326635043,12909.418395981025,8606.278930654018,6454.709197990513,⚠️ PREVENTIVE,8047.709197990513,3442.5115722616065,600.0,⚠️ Reduce equipment workload
EQ008,Blood Analyzer,Laboratory,Roche,2023-01-20,2025-04-25,2025-05-28,10,Active,72.0873603303299,50,2900,220,11,11.066384528784894,0,1,wear,0,4.0,2.0,2.0,wear,0.34376719234834185,3.4376719234834185,17188.359617417093,10313.015770450254,6875.343846966838,5156.507885225128,🟢 NORMAL,10644.507885225128,2750.1375387867347,1200.0,⚠️ Reduce equipment workload
EQ009,Infusion Pump,Emergency,Baxter,2022-04-10,2025-05-04,2025-06-10,12,Maintenance,82.59694255607698,58,3800,228,17,13.360200779055724,1,0,power,1,9.0,2.0,1.0,power,0.30778941918401476,3.0778941918401475,15389.470959200737,9233.68257552044,6155.788383680296,4616.841287760221,⚠️ PREVENTIVE,10121.84128776022,2462.315353472118,1200.0,⚠️ Reduce equipment workload
EQ010,Anesthesia Machine,Operation Theatre,Drager,2021-12-30,2025-04-30,2025-06-02,9,Active,67.45738871441283,42,2600,216,9,7.590083231296149,0,1,wear,0,3.0,1.0,2.0,wear,0.33784973252455525,3.3784973252455526,16892.486626227765,10135.491975736659,6756.994650491106,5067.7459878683285,🟢 NORMAL,7871.7459878683285,2702.797860196442,600.0,✅ Equipment operating normally
